"","edo","year","sexo","tipo_enfermedad","tasa"
"1194","Durango",2001,"M","lesiones",96.4
"1195","Guanajuato",2001,"M","lesiones",86.1
"1196","Guerrero",2001,"M","lesiones",126.6
"1197","Hidalgo",2001,"M","lesiones",93.3
"1198","Jalisco",2001,"M","lesiones",97.6
"1199","México",2001,"M","lesiones",90.1
"1200","Michoacán",2001,"M","lesiones",127
"1201","Morelos",2001,"M","lesiones",94.6
"1202","Nayarit",2001,"M","lesiones",107.8
"1203","Nuevo León",2001,"M","lesiones",67.2
"1204","Oaxaca",2001,"M","lesiones",121.3
"1205","Puebla",2001,"M","lesiones",90.9
"1206","Querétaro",2001,"M","lesiones",111
"1207","Quintana Roo",2001,"M","lesiones",102.2
"1208","San Luis Potosí",2001,"M","lesiones",91.9
"1209","Sinaloa",2001,"M","lesiones",110
"1210","Sonora",2001,"M","lesiones",106.5
"1211","Tabasco",2001,"M","lesiones",123.7
"1212","Tamaulipas",2001,"M","lesiones",81.1
"1213","Tlaxcala",2001,"M","lesiones",91.9
"1214","Veracruz",2001,"M","lesiones",85.1
"1215","Yucatán",2001,"M","lesiones",69.8
"1216","Zacatecas",2001,"M","lesiones",101.5
"1217","Aguascalientes",2002,"M","lesiones",97.4
"1218","Baja California",2002,"M","lesiones",114.9
"1219","Baja California Sur",2002,"M","lesiones",85.7
"1220","Campeche",2002,"M","lesiones",101.4
"1221","Coahuila",2002,"M","lesiones",77.5
"1222","Colima",2002,"M","lesiones",95.8
"1223","Chiapas",2002,"M","lesiones",106.1
"1224","Chihuahua",2002,"M","lesiones",135.1
"1225","Distrito Federal",2002,"M","lesiones",75
"1226","Durango",2002,"M","lesiones",103.1
"1227","Guanajuato",2002,"M","lesiones",90.1
"1228","Guerrero",2002,"M","lesiones",122.4
"1229","Hidalgo",2002,"M","lesiones",85.9
"1230","Jalisco",2002,"M","lesiones",94.2
"1231","México",2002,"M","lesiones",87.3
"1232","Michoacán",2002,"M","lesiones",118.7
"1233","Morelos",2002,"M","lesiones",88.1
"1234","Nayarit",2002,"M","lesiones",126
"1235","Nuevo León",2002,"M","lesiones",62.3
"1236","Oaxaca",2002,"M","lesiones",117.6
"1237","Puebla",2002,"M","lesiones",90
"1238","Querétaro",2002,"M","lesiones",92.4
"1239","Quintana Roo",2002,"M","lesiones",100.2
"1240","San Luis Potosí",2002,"M","lesiones",91.9
"1241","Sinaloa",2002,"M","lesiones",110
"1242","Sonora",2002,"M","lesiones",95.6
"1243","Tabasco",2002,"M","lesiones",112.6
"1244","Tamaulipas",2002,"M","lesiones",77.8
"1245","Tlaxcala",2002,"M","lesiones",103.1
"1246","Veracruz",2002,"M","lesiones",84.4
"1247","Yucatán",2002,"M","lesiones",88.4
"1248","Zacatecas",2002,"M","lesiones",112.3
"1249","Aguascalientes",2003,"M","lesiones",89.6
"1250","Baja California",2003,"M","lesiones",120.1
"1251","Baja California Sur",2003,"M","lesiones",82.1
"1252","Campeche",2003,"M","lesiones",93.6
"1253","Coahuila",2003,"M","lesiones",71.7
"1254","Colima",2003,"M","lesiones",82.9
"1255","Chiapas",2003,"M","lesiones",96.7
"1256","Chihuahua",2003,"M","lesiones",132.2
"1257","Distrito Federal",2003,"M","lesiones",74.9
"1258","Durango",2003,"M","lesiones",111.6
"1259","Guanajuato",2003,"M","lesiones",88.3
"1260","Guerrero",2003,"M","lesiones",118
"1261","Hidalgo",2003,"M","lesiones",87.1
"1262","Jalisco",2003,"M","lesiones",94.3
"1263","México",2003,"M","lesiones",84.1
"1264","Michoacán",2003,"M","lesiones",120.7
"1265","Morelos",2003,"M","lesiones",89.5
"1266","Nayarit",2003,"M","lesiones",115.1
"1267","Nuevo León",2003,"M","lesiones",66.8
"1268","Oaxaca",2003,"M","lesiones",120.2
"1269","Puebla",2003,"M","lesiones",91.1
"1270","Querétaro",2003,"M","lesiones",87.2
"1271","Quintana Roo",2003,"M","lesiones",92.1
"1272","San Luis Potosí",2003,"M","lesiones",88.7
"1273","Sinaloa",2003,"M","lesiones",103.9
"1274","Sonora",2003,"M","lesiones",91.4
"1275","Tabasco",2003,"M","lesiones",114.3
"1276","Tamaulipas",2003,"M","lesiones",78.2
"1277","Tlaxcala",2003,"M","lesiones",80.6
"1278","Veracruz",2003,"M","lesiones",83.8
"1279","Yucatán",2003,"M","lesiones",78.2
"1280","Zacatecas",2003,"M","lesiones",117.2
"1281","Aguascalientes",2004,"M","lesiones",84
"1282","Baja California",2004,"M","lesiones",114.1
"1283","Baja California Sur",2004,"M","lesiones",84.6
"1284","Campeche",2004,"M","lesiones",78.3
"1285","Coahuila",2004,"M","lesiones",66.9
"1286","Colima",2004,"M","lesiones",90.8
"1287","Chiapas",2004,"M","lesiones",93.4
"1288","Chihuahua",2004,"M","lesiones",126.4
"1289","Distrito Federal",2004,"M","lesiones",67
"1290","Durango",2004,"M","lesiones",101.3
"1291","Guanajuato",2004,"M","lesiones",86.3
"1292","Guerrero",2004,"M","lesiones",115.9
"1293","Hidalgo",2004,"M","lesiones",100
"1294","Jalisco",2004,"M","lesiones",88.9
"1295","México",2004,"M","lesiones",81.8
"1296","Michoacán",2004,"M","lesiones",119.9
"1297","Morelos",2004,"M","lesiones",80.5
"1298","Nayarit",2004,"M","lesiones",109.6
"1299","Nuevo León",2004,"M","lesiones",60.7
"1300","Oaxaca",2004,"M","lesiones",112.3
"1301","Puebla",2004,"M","lesiones",87.5
"1302","Querétaro",2004,"M","lesiones",99.2
"1303","Quintana Roo",2004,"M","lesiones",97.1
"1304","San Luis Potosí",2004,"M","lesiones",88
"1305","Sinaloa",2004,"M","lesiones",106.3
"1306","Sonora",2004,"M","lesiones",98.4
"1307","Tabasco",2004,"M","lesiones",116.7
"1308","Tamaulipas",2004,"M","lesiones",84
"1309","Tlaxcala",2004,"M","lesiones",74.3
"1310","Veracruz",2004,"M","lesiones",78.3
"1311","Yucatán",2004,"M","lesiones",73.9
"1312","Zacatecas",2004,"M","lesiones",107.1
"1313","Aguascalientes",2005,"M","lesiones",82.4
"1314","Baja California",2005,"M","lesiones",112.7
"1315","Baja California Sur",2005,"M","lesiones",101.9
"1316","Campeche",2005,"M","lesiones",90.9
"1317","Coahuila",2005,"M","lesiones",77.4
"1318","Colima",2005,"M","lesiones",79.9
"1319","Chiapas",2005,"M","lesiones",99.3
"1320","Chihuahua",2005,"M","lesiones",124.7
"1321","Distrito Federal",2005,"M","lesiones",65.6
"1322","Durango",2005,"M","lesiones",110.8
"1323","Guanajuato",2005,"M","lesiones",88.9
"1324","Guerrero",2005,"M","lesiones",112.2
"1325","Hidalgo",2005,"M","lesiones",87.2
"1326","Jalisco",2005,"M","lesiones",89.9
"1327","México",2005,"M","lesiones",81.7
"1328","Michoacán",2005,"M","lesiones",132.7
"1329","Morelos",2005,"M","lesiones",80.4
"1330","Nayarit",2005,"M","lesiones",118
"1331","Nuevo León",2005,"M","lesiones",66.4
"1332","Oaxaca",2005,"M","lesiones",114.5
"1333","Puebla",2005,"M","lesiones",82.8
"1334","Querétaro",2005,"M","lesiones",89.7
"1335","Quintana Roo",2005,"M","lesiones",93.7
"1336","San Luis Potosí",2005,"M","lesiones",88.4
"1337","Sinaloa",2005,"M","lesiones",111.7
"1338","Sonora",2005,"M","lesiones",100.6
"1339","Tabasco",2005,"M","lesiones",114.2
"1340","Tamaulipas",2005,"M","lesiones",86.4
"1341","Tlaxcala",2005,"M","lesiones",73.6
"1342","Veracruz",2005,"M","lesiones",77.6
"1343","Yucatán",2005,"M","lesiones",72.6
"1344","Zacatecas",2005,"M","lesiones",115.8
"1345","Aguascalientes",2006,"M","lesiones",79.8
"1346","Baja California",2006,"M","lesiones",106.6
"1347","Baja California Sur",2006,"M","lesiones",91.6
"1348","Campeche",2006,"M","lesiones",86.7
"1349","Coahuila",2006,"M","lesiones",76.8
"1350","Colima",2006,"M","lesiones",83.2
"1351","Chiapas",2006,"M","lesiones",107.6
"1352","Chihuahua",2006,"M","lesiones",139.7
"1353","Distrito Federal",2006,"M","lesiones",64.3
"1354","Durango",2006,"M","lesiones",107.5
"1355","Guanajuato",2006,"M","lesiones",84.3
"1356","Guerrero",2006,"M","lesiones",125.3
"1357","Hidalgo",2006,"M","lesiones",84.7
"1358","Jalisco",2006,"M","lesiones",86.2
"1359","México",2006,"M","lesiones",78.6
"1360","Michoacán",2006,"M","lesiones",152.7
"1361","Morelos",2006,"M","lesiones",83.8
"1362","Nayarit",2006,"M","lesiones",116.5
"1363","Nuevo León",2006,"M","lesiones",62.3
"1364","Oaxaca",2006,"M","lesiones",104.8
"1365","Puebla",2006,"M","lesiones",80.4
"1366","Querétaro",2006,"M","lesiones",85.4
"1367","Quintana Roo",2006,"M","lesiones",86.5
"1368","San Luis Potosí",2006,"M","lesiones",87.5
"1369","Sinaloa",2006,"M","lesiones",115.2
"1370","Sonora",2006,"M","lesiones",103.9
"1371","Tabasco",2006,"M","lesiones",126.4
"1372","Tamaulipas",2006,"M","lesiones",87.4
"1373","Tlaxcala",2006,"M","lesiones",85.7
"1374","Veracruz",2006,"M","lesiones",77.3
"1375","Yucatán",2006,"M","lesiones",71.5
"1376","Zacatecas",2006,"M","lesiones",106.1
"1377","Aguascalientes",2007,"M","lesiones",88.4
"1378","Baja California",2007,"M","lesiones",102
"1379","Baja California Sur",2007,"M","lesiones",114.8
"1380","Campeche",2007,"M","lesiones",83.5
"1381","Coahuila",2007,"M","lesiones",82.5
"1382","Colima",2007,"M","lesiones",85.9
"1383","Chiapas",2007,"M","lesiones",89.1
"1384","Chihuahua",2007,"M","lesiones",124
"1385","Distrito Federal",2007,"M","lesiones",64.2
"1386","Durango",2007,"M","lesiones",123.5
"1387","Guanajuato",2007,"M","lesiones",88.2
"1388","Guerrero",2007,"M","lesiones",145.8
"1389","Hidalgo",2007,"M","lesiones",85.3
"1390","Jalisco",2007,"M","lesiones",88.2
"1391","México",2007,"M","lesiones",75.2
"1392","Michoacán",2007,"M","lesiones",141
"1393","Morelos",2007,"M","lesiones",82.7
"1394","Nayarit",2007,"M","lesiones",119.5
"1395","Nuevo León",2007,"M","lesiones",68.8
"1396","Oaxaca",2007,"M","lesiones",117
"1397","Puebla",2007,"M","lesiones",79
"1398","Querétaro",2007,"M","lesiones",83.7
"1399","Quintana Roo",2007,"M","lesiones",107.5
"1400","San Luis Potosí",2007,"M","lesiones",86.7
"1401","Sinaloa",2007,"M","lesiones",122.7
"1402","Sonora",2007,"M","lesiones",110.1
"1403","Tabasco",2007,"M","lesiones",122.5
"1404","Tamaulipas",2007,"M","lesiones",75.2
"1405","Tlaxcala",2007,"M","lesiones",73.1
"1406","Veracruz",2007,"M","lesiones",83
"1407","Yucatán",2007,"M","lesiones",74.1
"1408","Zacatecas",2007,"M","lesiones",109.1
"1409","Aguascalientes",2008,"M","lesiones",83.9
"1410","Baja California",2008,"M","lesiones",120.6
"1411","Baja California Sur",2008,"M","lesiones",99.6
"1412","Campeche",2008,"M","lesiones",96.9
"1413","Coahuila",2008,"M","lesiones",79.4
"1414","Colima",2008,"M","lesiones",85.2
"1415","Chiapas",2008,"M","lesiones",97
"1416","Chihuahua",2008,"M","lesiones",244.3
"1417","Distrito Federal",2008,"M","lesiones",62.1
"1418","Durango",2008,"M","lesiones",155.1
"1419","Guanajuato",2008,"M","lesiones",90.8
"1420","Guerrero",2008,"M","lesiones",150.5
"1421","Hidalgo",2008,"M","lesiones",93.1
"1422","Jalisco",2008,"M","lesiones",92
"1423","México",2008,"M","lesiones",78.6
"1424","Michoacán",2008,"M","lesiones",140.1
"1425","Morelos",2008,"M","lesiones",89.9
"1426","Nayarit",2008,"M","lesiones",125.3
"1427","Nuevo León",2008,"M","lesiones",65.2
"1428","Oaxaca",2008,"M","lesiones",119.1
"1429","Puebla",2008,"M","lesiones",83.8
"1430","Querétaro",2008,"M","lesiones",84.1
"1431","Quintana Roo",2008,"M","lesiones",106.4
"1432","San Luis Potosí",2008,"M","lesiones",93.7
"1433","Sinaloa",2008,"M","lesiones",155.6
"1434","Sonora",2008,"M","lesiones",110
"1435","Tabasco",2008,"M","lesiones",125.8
"1436","Tamaulipas",2008,"M","lesiones",83.6
"1437","Tlaxcala",2008,"M","lesiones",73.3
"1438","Veracruz",2008,"M","lesiones",85.5
"1439","Yucatán",2008,"M","lesiones",72
"1440","Zacatecas",2008,"M","lesiones",113.9
"1441","Aguascalientes",2000,"F","lesiones",25
"1442","Baja California",2000,"F","lesiones",29.8
"1443","Baja California Sur",2000,"F","lesiones",23.7
"1444","Campeche",2000,"F","lesiones",19.5
"1445","Coahuila",2000,"F","lesiones",18.9
"1446","Colima",2000,"F","lesiones",21.9
"1447","Chiapas",2000,"F","lesiones",21.5
"1448","Chihuahua",2000,"F","lesiones",28.4
"1449","Distrito Federal",2000,"F","lesiones",19.8
"1450","Durango",2000,"F","lesiones",17.1
"1451","Guanajuato",2000,"F","lesiones",23
"1452","Guerrero",2000,"F","lesiones",26.5
"1453","Hidalgo",2000,"F","lesiones",24.3
"1454","Jalisco",2000,"F","lesiones",25.9
"1455","México",2000,"F","lesiones",22.4
"1456","Michoacán",2000,"F","lesiones",27
"1457","Morelos",2000,"F","lesiones",21.6
"1458","Nayarit",2000,"F","lesiones",21.2
"1459","Nuevo León",2000,"F","lesiones",18.7
"1460","Oaxaca",2000,"F","lesiones",22.9
"1461","Puebla",2000,"F","lesiones",21.6
"1462","Querétaro",2000,"F","lesiones",25
"1463","Quintana Roo",2000,"F","lesiones",24.5
"1464","San Luis Potosí",2000,"F","lesiones",21.7
"1465","Sinaloa",2000,"F","lesiones",24.4
"1466","Sonora",2000,"F","lesiones",25.6
"1467","Tabasco",2000,"F","lesiones",23.7
"1468","Tamaulipas",2000,"F","lesiones",22.1
"1469","Tlaxcala",2000,"F","lesiones",26.8
"1470","Veracruz",2000,"F","lesiones",16.8
"1471","Yucatán",2000,"F","lesiones",16.5
"1472","Zacatecas",2000,"F","lesiones",18.1
"1473","Aguascalientes",2001,"F","lesiones",22.2
"1474","Baja California",2001,"F","lesiones",31.5
"1475","Baja California Sur",2001,"F","lesiones",17.5
"1476","Campeche",2001,"F","lesiones",21.7
"1477","Coahuila",2001,"F","lesiones",22.6
"1478","Colima",2001,"F","lesiones",26.8
"1479","Chiapas",2001,"F","lesiones",19.7
"1480","Chihuahua",2001,"F","lesiones",29.9
"1481","Distrito Federal",2001,"F","lesiones",21.6
"1482","Durango",2001,"F","lesiones",19.7
"1483","Guanajuato",2001,"F","lesiones",23.7
"1484","Guerrero",2001,"F","lesiones",25.9
"1485","Hidalgo",2001,"F","lesiones",24.3
"1486","Jalisco",2001,"F","lesiones",24.9
"1487","México",2001,"F","lesiones",24.9
"1488","Michoacán",2001,"F","lesiones",27.8
"1489","Morelos",2001,"F","lesiones",26.4
"1490","Nayarit",2001,"F","lesiones",22.3
"1491","Nuevo León",2001,"F","lesiones",19.3
"1492","Oaxaca",2001,"F","lesiones",22.7
"1493","Puebla",2001,"F","lesiones",22.8
"1494","Querétaro",2001,"F","lesiones",24.3
"1495","Quintana Roo",2001,"F","lesiones",25.5
"1496","San Luis Potosí",2001,"F","lesiones",18.6
"1497","Sinaloa",2001,"F","lesiones",21.9
"1498","Sonora",2001,"F","lesiones",23.1
"1499","Tabasco",2001,"F","lesiones",24.5
"1500","Tamaulipas",2001,"F","lesiones",20.5
"1501","Tlaxcala",2001,"F","lesiones",21
"1502","Veracruz",2001,"F","lesiones",19.8
"1503","Yucatán",2001,"F","lesiones",21.2
"1504","Zacatecas",2001,"F","lesiones",21.9
"1505","Aguascalientes",2002,"F","lesiones",29.2
"1506","Baja California",2002,"F","lesiones",28.8
"1507","Baja California Sur",2002,"F","lesiones",28.3
"1508","Campeche",2002,"F","lesiones",20.3
"1509","Coahuila",2002,"F","lesiones",23.3
"1510","Colima",2002,"F","lesiones",19.9
"1511","Chiapas",2002,"F","lesiones",22.2
"1512","Chihuahua",2002,"F","lesiones",33.9
"1513","Distrito Federal",2002,"F","lesiones",20.4
"1514","Durango",2002,"F","lesiones",24
"1515","Guanajuato",2002,"F","lesiones",22.8
"1516","Guerrero",2002,"F","lesiones",29.6
"1517","Hidalgo",2002,"F","lesiones",18.4
"1518","Jalisco",2002,"F","lesiones",26.1
"1519","México",2002,"F","lesiones",24.2
"1520","Michoacán",2002,"F","lesiones",29
"1521","Morelos",2002,"F","lesiones",18.3
"1522","Nayarit",2002,"F","lesiones",25.2
"1523","Nuevo León",2002,"F","lesiones",17.9
"1524","Oaxaca",2002,"F","lesiones",24.6
"1525","Puebla",2002,"F","lesiones",24.2
"1526","Querétaro",2002,"F","lesiones",27.1
"1527","Quintana Roo",2002,"F","lesiones",19.4
"1528","San Luis Potosí",2002,"F","lesiones",20.6
"1529","Sinaloa",2002,"F","lesiones",22
"1530","Sonora",2002,"F","lesiones",22.9
"1531","Tabasco",2002,"F","lesiones",20.8
"1532","Tamaulipas",2002,"F","lesiones",19.9
"1533","Tlaxcala",2002,"F","lesiones",27.8
"1534","Veracruz",2002,"F","lesiones",18.1
"1535","Yucatán",2002,"F","lesiones",18.4
"1536","Zacatecas",2002,"F","lesiones",28.3
"1537","Aguascalientes",2003,"F","lesiones",32.8
"1538","Baja California",2003,"F","lesiones",31.3
"1539","Baja California Sur",2003,"F","lesiones",25.1
"1540","Campeche",2003,"F","lesiones",18.7
"1541","Coahuila",2003,"F","lesiones",24.1
"1542","Colima",2003,"F","lesiones",30
"1543","Chiapas",2003,"F","lesiones",19.6
"1544","Chihuahua",2003,"F","lesiones",35.3
"1545","Distrito Federal",2003,"F","lesiones",21.4
"1546","Durango",2003,"F","lesiones",26.2
"1547","Guanajuato",2003,"F","lesiones",22.9
"1548","Guerrero",2003,"F","lesiones",26.6
"1549","Hidalgo",2003,"F","lesiones",21.7
"1550","Jalisco",2003,"F","lesiones",26.3
"1551","México",2003,"F","lesiones",22
"1552","Michoacán",2003,"F","lesiones",25.9
"1553","Morelos",2003,"F","lesiones",21
"1554","Nayarit",2003,"F","lesiones",29.5
"1555","Nuevo León",2003,"F","lesiones",18.3
"1556","Oaxaca",2003,"F","lesiones",25.1
"1557","Puebla",2003,"F","lesiones",22.9
"1558","Querétaro",2003,"F","lesiones",21.3
"1559","Quintana Roo",2003,"F","lesiones",26
"1560","San Luis Potosí",2003,"F","lesiones",19.4
"1561","Sinaloa",2003,"F","lesiones",20.6
"1562","Sonora",2003,"F","lesiones",21.5
"1563","Tabasco",2003,"F","lesiones",19.9
"1564","Tamaulipas",2003,"F","lesiones",17.1
"1565","Tlaxcala",2003,"F","lesiones",23.2
"1566","Veracruz",2003,"F","lesiones",18.3
"1567","Yucatán",2003,"F","lesiones",20.4
"1568","Zacatecas",2003,"F","lesiones",35.1
"1569","Aguascalientes",2004,"F","lesiones",23.6
"1570","Baja California",2004,"F","lesiones",31
"1571","Baja California Sur",2004,"F","lesiones",27.2
"1572","Campeche",2004,"F","lesiones",19.3
"1573","Coahuila",2004,"F","lesiones",21.5
"1574","Colima",2004,"F","lesiones",21.2
"1575","Chiapas",2004,"F","lesiones",18.5
"1576","Chihuahua",2004,"F","lesiones",31.2
"1577","Distrito Federal",2004,"F","lesiones",18.2
"1578","Durango",2004,"F","lesiones",24.8
"1579","Guanajuato",2004,"F","lesiones",22.9
"1580","Guerrero",2004,"F","lesiones",25.2
"1581","Hidalgo",2004,"F","lesiones",25.2
"1582","Jalisco",2004,"F","lesiones",24.3
"1583","México",2004,"F","lesiones",22.2
"1584","Michoacán",2004,"F","lesiones",27.4
"1585","Morelos",2004,"F","lesiones",23.2
"1586","Nayarit",2004,"F","lesiones",32.2
"1587","Nuevo León",2004,"F","lesiones",20.5
"1588","Oaxaca",2004,"F","lesiones",22.6
"1589","Puebla",2004,"F","lesiones",21.9
"1590","Querétaro",2004,"F","lesiones",24.1
"1591","Quintana Roo",2004,"F","lesiones",27.8
"1592","San Luis Potosí",2004,"F","lesiones",19.7
"1593","Sinaloa",2004,"F","lesiones",22.2
"1594","Sonora",2004,"F","lesiones",23.6
"1595","Tabasco",2004,"F","lesiones",23.7
"1596","Tamaulipas",2004,"F","lesiones",20.2
"1597","Tlaxcala",2004,"F","lesiones",26.4
"1598","Veracruz",2004,"F","lesiones",16.4
"1599","Yucatán",2004,"F","lesiones",15.9
"1600","Zacatecas",2004,"F","lesiones",27.8
"1601","Aguascalientes",2005,"F","lesiones",31.7
"1602","Baja California",2005,"F","lesiones",31.7
"1603","Baja California Sur",2005,"F","lesiones",36.7
"1604","Campeche",2005,"F","lesiones",22.4
"1605","Coahuila",2005,"F","lesiones",23.5
"1606","Colima",2005,"F","lesiones",24.3
"1607","Chiapas",2005,"F","lesiones",20.2
"1608","Chihuahua",2005,"F","lesiones",33.6
"1609","Distrito Federal",2005,"F","lesiones",20.7
"1610","Durango",2005,"F","lesiones",25.3
"1611","Guanajuato",2005,"F","lesiones",24.5
"1612","Guerrero",2005,"F","lesiones",21.1
"1613","Hidalgo",2005,"F","lesiones",22
"1614","Jalisco",2005,"F","lesiones",21.4
"1615","México",2005,"F","lesiones",22.8
"1616","Michoacán",2005,"F","lesiones",27.7
"1617","Morelos",2005,"F","lesiones",24
"1618","Nayarit",2005,"F","lesiones",25.6
"1619","Nuevo León",2005,"F","lesiones",21.6
"1620","Oaxaca",2005,"F","lesiones",24.7
"1621","Puebla",2005,"F","lesiones",23.5
"1622","Querétaro",2005,"F","lesiones",23.7
"1623","Quintana Roo",2005,"F","lesiones",27.8
"1624","San Luis Potosí",2005,"F","lesiones",20.1
"1625","Sinaloa",2005,"F","lesiones",24.3
"1626","Sonora",2005,"F","lesiones",24.4
"1627","Tabasco",2005,"F","lesiones",21.2
"1628","Tamaulipas",2005,"F","lesiones",21.7
"1629","Tlaxcala",2005,"F","lesiones",21.1
"1630","Veracruz",2005,"F","lesiones",17
"1631","Yucatán",2005,"F","lesiones",16.6
"1632","Zacatecas",2005,"F","lesiones",29
"1633","Aguascalientes",2006,"F","lesiones",24.2
"1634","Baja California",2006,"F","lesiones",29.3
"1635","Baja California Sur",2006,"F","lesiones",28.2
"1636","Campeche",2006,"F","lesiones",15.5
"1637","Coahuila",2006,"F","lesiones",21.3
"1638","Colima",2006,"F","lesiones",21.1
"1639","Chiapas",2006,"F","lesiones",24
"1640","Chihuahua",2006,"F","lesiones",36
"1641","Distrito Federal",2006,"F","lesiones",18.6
"1642","Durango",2006,"F","lesiones",28.1
"1643","Guanajuato",2006,"F","lesiones",20
"1644","Guerrero",2006,"F","lesiones",26.5
"1645","Hidalgo",2006,"F","lesiones",22
"1646","Jalisco",2006,"F","lesiones",24.6
"1647","México",2006,"F","lesiones",20.4
"1648","Michoacán",2006,"F","lesiones",27.6
"1649","Morelos",2006,"F","lesiones",22.1
"1650","Nayarit",2006,"F","lesiones",28.1
"1651","Nuevo León",2006,"F","lesiones",21.2
"1652","Oaxaca",2006,"F","lesiones",23.7
"1653","Puebla",2006,"F","lesiones",20.5
"1654","Querétaro",2006,"F","lesiones",23.4
"1655","Quintana Roo",2006,"F","lesiones",21.2
"1656","San Luis Potosí",2006,"F","lesiones",22.7
"1657","Sinaloa",2006,"F","lesiones",23.5
"1658","Sonora",2006,"F","lesiones",27.2
"1659","Tabasco",2006,"F","lesiones",26.4
"1660","Tamaulipas",2006,"F","lesiones",20.4
"1661","Tlaxcala",2006,"F","lesiones",24.1
"1662","Veracruz",2006,"F","lesiones",16.6
"1663","Yucatán",2006,"F","lesiones",18.4
"1664","Zacatecas",2006,"F","lesiones",25
"1665","Aguascalientes",2007,"F","lesiones",20.7
"1666","Baja California",2007,"F","lesiones",26.5
"1667","Baja California Sur",2007,"F","lesiones",35
"1668","Campeche",2007,"F","lesiones",19.2
"1669","Coahuila",2007,"F","lesiones",22.7
"1670","Colima",2007,"F","lesiones",26.2
"1671","Chiapas",2007,"F","lesiones",20.2
"1672","Chihuahua",2007,"F","lesiones",29.4
"1673","Distrito Federal",2007,"F","lesiones",17
"1674","Durango",2007,"F","lesiones",29.5
"1675","Guanajuato",2007,"F","lesiones",20.1
"1676","Guerrero",2007,"F","lesiones",29.3
"1677","Hidalgo",2007,"F","lesiones",24.2
"1678","Jalisco",2007,"F","lesiones",25.3
"1679","México",2007,"F","lesiones",21.7
"1680","Michoacán",2007,"F","lesiones",30.7
"1681","Morelos",2007,"F","lesiones",22.9
"1682","Nayarit",2007,"F","lesiones",27.2
"1683","Nuevo León",2007,"F","lesiones",19.3
"1684","Oaxaca",2007,"F","lesiones",21.6
"1685","Puebla",2007,"F","lesiones",20.8
"1686","Querétaro",2007,"F","lesiones",24.1
"1687","Quintana Roo",2007,"F","lesiones",28.6
"1688","San Luis Potosí",2007,"F","lesiones",23.5
"1689","Sinaloa",2007,"F","lesiones",24.6
"1690","Sonora",2007,"F","lesiones",28.8
"1691","Tabasco",2007,"F","lesiones",23.2
"1692","Tamaulipas",2007,"F","lesiones",21.3
"1693","Tlaxcala",2007,"F","lesiones",21.5
"1694","Veracruz",2007,"F","lesiones",16.8
"1695","Yucatán",2007,"F","lesiones",14.8
"1696","Zacatecas",2007,"F","lesiones",26.2
"1697","Aguascalientes",2008,"F","lesiones",24.5
"1698","Baja California",2008,"F","lesiones",28.7
"1699","Baja California Sur",2008,"F","lesiones",32.6
"1700","Campeche",2008,"F","lesiones",17.2
"1701","Coahuila",2008,"F","lesiones",22.1
"1702","Colima",2008,"F","lesiones",32.3
"1703","Chiapas",2008,"F","lesiones",18.5
"1704","Chihuahua",2008,"F","lesiones",40.1
"1705","Distrito Federal",2008,"F","lesiones",16.9
"1706","Durango",2008,"F","lesiones",33.4
"1707","Guanajuato",2008,"F","lesiones",22.4
"1708","Guerrero",2008,"F","lesiones",28.5
"1709","Hidalgo",2008,"F","lesiones",23.7
"1710","Jalisco",2008,"F","lesiones",25.8
"1711","México",2008,"F","lesiones",20.1
"1712","Michoacán",2008,"F","lesiones",31.5
"1713","Morelos",2008,"F","lesiones",21.5
"1714","Nayarit",2008,"F","lesiones",27.1
"1715","Nuevo León",2008,"F","lesiones",16.6
"1716","Oaxaca",2008,"F","lesiones",22.4
"1717","Puebla",2008,"F","lesiones",19.3
"1718","Querétaro",2008,"F","lesiones",19.9
"1719","Quintana Roo",2008,"F","lesiones",22.8
"1720","San Luis Potosí",2008,"F","lesiones",18.6
"1721","Sinaloa",2008,"F","lesiones",22.4
"1722","Sonora",2008,"F","lesiones",27.1
"1723","Tabasco",2008,"F","lesiones",24.2
"1724","Tamaulipas",2008,"F","lesiones",19.8
"1725","Tlaxcala",2008,"F","lesiones",24.3
"1726","Veracruz",2008,"F","lesiones",18.2
"1727","Yucatán",2008,"F","lesiones",16
"1728","Zacatecas",2008,"F","lesiones",28.5
