"","edo","year","sexo","tipo_enfermedad","tasa"
"188","Tamaulipas",2005,"M","trans",65
"189","Tlaxcala",2005,"M","trans",86.2
"190","Veracruz",2005,"M","trans",88.7
"191","Yucatán",2005,"M","trans",81.4
"192","Zacatecas",2005,"M","trans",64.9
"193","Aguascalientes",2006,"M","trans",68
"194","Baja California",2006,"M","trans",101.3
"195","Baja California Sur",2006,"M","trans",80.1
"196","Campeche",2006,"M","trans",61.5
"197","Coahuila",2006,"M","trans",64
"198","Colima",2006,"M","trans",76.2
"199","Chiapas",2006,"M","trans",109.1
"200","Chihuahua",2006,"M","trans",91.4
"201","Distrito Federal",2006,"M","trans",79.6
"202","Durango",2006,"M","trans",55
"203","Guanajuato",2006,"M","trans",79.4
"204","Guerrero",2006,"M","trans",65
"205","Hidalgo",2006,"M","trans",72.3
"206","Jalisco",2006,"M","trans",76.1
"207","México",2006,"M","trans",83
"208","Michoacán",2006,"M","trans",63.7
"209","Morelos",2006,"M","trans",75.3
"210","Nayarit",2006,"M","trans",69.1
"211","Nuevo León",2006,"M","trans",74.1
"212","Oaxaca",2006,"M","trans",93.1
"213","Puebla",2006,"M","trans",90.6
"214","Querétaro",2006,"M","trans",71.7
"215","Quintana Roo",2006,"M","trans",75.7
"216","San Luis Potosí",2006,"M","trans",73.8
"217","Sinaloa",2006,"M","trans",65.3
"218","Sonora",2006,"M","trans",95
"219","Tabasco",2006,"M","trans",82
"220","Tamaulipas",2006,"M","trans",72.5
"221","Tlaxcala",2006,"M","trans",69.6
"222","Veracruz",2006,"M","trans",82
"223","Yucatán",2006,"M","trans",88.3
"224","Zacatecas",2006,"M","trans",62.3
"225","Aguascalientes",2007,"M","trans",57.9
"226","Baja California",2007,"M","trans",90.4
"227","Baja California Sur",2007,"M","trans",78.2
"228","Campeche",2007,"M","trans",62.6
"229","Coahuila",2007,"M","trans",65.5
"230","Colima",2007,"M","trans",73.9
"231","Chiapas",2007,"M","trans",108.9
"232","Chihuahua",2007,"M","trans",88.3
"233","Distrito Federal",2007,"M","trans",79.4
"234","Durango",2007,"M","trans",57.6
"235","Guanajuato",2007,"M","trans",70.4
"236","Guerrero",2007,"M","trans",72
"237","Hidalgo",2007,"M","trans",68.4
"238","Jalisco",2007,"M","trans",76
"239","México",2007,"M","trans",79.3
"240","Michoacán",2007,"M","trans",62.6
"241","Morelos",2007,"M","trans",74.4
"242","Nayarit",2007,"M","trans",70.5
"243","Nuevo León",2007,"M","trans",70.3
"244","Oaxaca",2007,"M","trans",97.2
"245","Puebla",2007,"M","trans",91
"246","Querétaro",2007,"M","trans",66.2
"247","Quintana Roo",2007,"M","trans",80
"248","San Luis Potosí",2007,"M","trans",64.4
"249","Sinaloa",2007,"M","trans",58.8
"250","Sonora",2007,"M","trans",82.8
"251","Tabasco",2007,"M","trans",87.2
"252","Tamaulipas",2007,"M","trans",71.2
"253","Tlaxcala",2007,"M","trans",72.8
"254","Veracruz",2007,"M","trans",86.4
"255","Yucatán",2007,"M","trans",84
"256","Zacatecas",2007,"M","trans",62.3
"257","Aguascalientes",2008,"M","trans",60
"258","Baja California",2008,"M","trans",88.2
"259","Baja California Sur",2008,"M","trans",73.3
"260","Campeche",2008,"M","trans",65.6
"261","Coahuila",2008,"M","trans",59.6
"262","Colima",2008,"M","trans",71.4
"263","Chiapas",2008,"M","trans",106.2
"264","Chihuahua",2008,"M","trans",84.5
"265","Distrito Federal",2008,"M","trans",79.9
"266","Durango",2008,"M","trans",63
"267","Guanajuato",2008,"M","trans",68.9
"268","Guerrero",2008,"M","trans",71.6
"269","Hidalgo",2008,"M","trans",63.5
"270","Jalisco",2008,"M","trans",75.6
"271","México",2008,"M","trans",79.1
"272","Michoacán",2008,"M","trans",62.3
"273","Morelos",2008,"M","trans",76.1
"274","Nayarit",2008,"M","trans",82.6
"275","Nuevo León",2008,"M","trans",73
"276","Oaxaca",2008,"M","trans",101
"277","Puebla",2008,"M","trans",87.2
"278","Querétaro",2008,"M","trans",64.9
"279","Quintana Roo",2008,"M","trans",67.2
"280","San Luis Potosí",2008,"M","trans",62.6
"281","Sinaloa",2008,"M","trans",66
"282","Sonora",2008,"M","trans",82.8
"283","Tabasco",2008,"M","trans",76.6
"284","Tamaulipas",2008,"M","trans",70.3
"285","Tlaxcala",2008,"M","trans",60.4
"286","Veracruz",2008,"M","trans",91.6
"287","Yucatán",2008,"M","trans",82.7
"288","Zacatecas",2008,"M","trans",64.8
"289","Aguascalientes",2000,"F","trans",54.8
"290","Baja California",2000,"F","trans",63.9
"291","Baja California Sur",2000,"F","trans",61.5
"292","Campeche",2000,"F","trans",44.9
"293","Coahuila",2000,"F","trans",51.7
"294","Colima",2000,"F","trans",51
"295","Chiapas",2000,"F","trans",98.2
"296","Chihuahua",2000,"F","trans",63.2
"297","Distrito Federal",2000,"F","trans",60.2
"298","Durango",2000,"F","trans",40
"299","Guanajuato",2000,"F","trans",72.7
"300","Guerrero",2000,"F","trans",55.9
"301","Hidalgo",2000,"F","trans",56.6
"302","Jalisco",2000,"F","trans",64.4
"303","México",2000,"F","trans",76.9
"304","Michoacán",2000,"F","trans",49.7
"305","Morelos",2000,"F","trans",58.3
"306","Nayarit",2000,"F","trans",45.7
"307","Nuevo León",2000,"F","trans",46.8
"308","Oaxaca",2000,"F","trans",98
"309","Puebla",2000,"F","trans",101.6
"310","Querétaro",2000,"F","trans",70.3
"311","Quintana Roo",2000,"F","trans",61.8
"312","San Luis Potosí",2000,"F","trans",59.9
"313","Sinaloa",2000,"F","trans",38.6
"314","Sonora",2000,"F","trans",60.8
"315","Tabasco",2000,"F","trans",55.4
"316","Tamaulipas",2000,"F","trans",48.2
"317","Tlaxcala",2000,"F","trans",71.2
"318","Veracruz",2000,"F","trans",63.5
"319","Yucatán",2000,"F","trans",66
"320","Zacatecas",2000,"F","trans",52.4
"321","Aguascalientes",2001,"F","trans",53.2
"322","Baja California",2001,"F","trans",56.9
"323","Baja California Sur",2001,"F","trans",59.8
"324","Campeche",2001,"F","trans",45.5
"325","Coahuila",2001,"F","trans",58
"326","Colima",2001,"F","trans",53.9
"327","Chiapas",2001,"F","trans",106
"328","Chihuahua",2001,"F","trans",66.6
"329","Distrito Federal",2001,"F","trans",59.1
"330","Durango",2001,"F","trans",36.4
